display_name,params,epochs_ran,best_epoch,best_val_loss,best_val_accuracy,test_accuracy,test_balanced_accuracy,test_macro_f1,test_weighted_f1,training_seconds
Variantas 8,225285,10,8,0.14129643142223358,0.950687825679779,0.951005291005291,0.9574285714285715,0.9587318179627978,0.9508169974540902,151.76398829999744
Mano architektura,156965,7,5,0.14994417130947113,0.9443386197090149,0.9475132275132275,0.9551746031746031,0.9558786925615722,0.9477304900976821,526.4197029999996
Variantas 7,93317,15,15,0.1715051680803299,0.9396825432777405,0.9355555555555556,0.9463809523809523,0.9465620193617644,0.9356807457177518,209.60176879999926
Variantas 2,126981,13,11,0.16932858526706696,0.937248706817627,0.9323809523809524,0.9455238095238094,0.9439054513017713,0.9325892796369696,170.91796149999936
