epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
1,0.9030612111091614,0.21064059436321259,0.3003174662590027,1.9290544986724854,0.0010000000474974513
2,0.9390249252319336,0.12561257183551788,0.6722751259803772,1.317893385887146,0.0010000000474974513
3,0.9511564373970032,0.09988583624362946,0.8711110949516296,0.36556628346443176,0.0010000000474974513
4,0.9596825242042542,0.08066743612289429,0.9266666769981384,0.1899031400680542,0.0010000000474974513
5,0.9665079116821289,0.06839162111282349,0.938095211982727,0.16292297840118408,0.0010000000474974513
6,0.9709523916244507,0.059200502932071686,0.9330158829689026,0.18843720853328705,0.0010000000474974513
7,0.978208601474762,0.04403788968920708,0.9505820274353027,0.14150597155094147,0.0005000000237487257
8,0.9826530814170837,0.03594011068344116,0.950687825679779,0.14129643142223358,0.0005000000237487257
9,0.9861677885055542,0.029629327356815338,0.9480423331260681,0.15447798371315002,0.0005000000237487257
10,0.9908616542816162,0.02248420938849449,0.950264573097229,0.14724278450012207,0.0002500000118743628
