epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
1,0.7989000082015991,0.41430994868278503,0.22275131940841675,3.4140186309814453,0.0010000000474974513
2,0.9019666910171509,0.20887722074985504,0.1111111119389534,3.8239455223083496,0.0010000000474974513
3,0.9217333197593689,0.16584135591983795,0.14878307282924652,2.8681564331054688,0.0005000000237487257
4,0.9285666942596436,0.1490396410226822,0.6268783211708069,1.409821629524231,0.0005000000237487257
5,0.9286999702453613,0.14205601811408997,0.8588359951972961,0.3727407157421112,0.0005000000237487257
6,0.9368666410446167,0.13175033032894135,0.9293121695518494,0.18262946605682373,0.0005000000237487257
7,0.9385666847229004,0.12620463967323303,0.915238082408905,0.21105778217315674,0.0005000000237487257
8,0.9434000253677368,0.11269401013851166,0.9408465623855591,0.17016799747943878,0.0002500000118743628
9,0.9450333118438721,0.10963235795497894,0.9485714435577393,0.14247141778469086,0.0002500000118743628
10,0.9470999836921692,0.10606716573238373,0.9405291080474854,0.16779035329818726,0.0002500000118743628
11,0.9494666457176208,0.10312838852405548,0.9471957683563232,0.14450421929359436,0.0001250000059371814
