sample_size,mean_accuracy,std_accuracy,mean_balanced_accuracy,std_balanced_accuracy,mean_macro_f1,std_macro_f1,mean_best_epoch
5000,0.2174005775075477,0.0025006810359711885,0.20289049919484703,0.005006491464711988,0.077164537221407,0.010606369019923761,1.0
10000,0.22670035449855722,0.0060822039885285555,0.20685758436767862,0.011877684542009395,0.08570248859232454,0.022025780537976908,1.0
20000,0.2416519963080754,0.03457707014127397,0.23667117726657647,0.06351634219907518,0.10439810701337952,0.05510294373985761,1.6666666666666667
30000,0.5105666666666666,0.2491959938147749,0.5320476595373085,0.2882384056596329,0.44619047801812756,0.32316744585043417,4.333333333333333
