epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
1,0.7270521521568298,0.5743653178215027,0.8532274961471558,0.3854729235172272,0.0010000000474974513
2,0.8484354019165039,0.31521371006965637,0.8716402053833008,0.3169417679309845,0.0010000000474974513
3,0.8709070086479187,0.27429264783859253,0.8908994793891907,0.2843446135520935,0.0010000000474974513
4,0.8848072290420532,0.24628505110740662,0.8973544836044312,0.27060389518737793,0.0010000000474974513
5,0.8964172601699829,0.227859228849411,0.9131217002868652,0.23853766918182373,0.0010000000474974513
6,0.9028571248054504,0.212483748793602,0.9190475940704346,0.22483785450458527,0.0010000000474974513
7,0.90766441822052,0.20259253680706024,0.9228571653366089,0.22028067708015442,0.0010000000474974513
8,0.9127210974693298,0.1922663152217865,0.9248677492141724,0.21119335293769836,0.0010000000474974513
9,0.9148299098014832,0.18588390946388245,0.9244444370269775,0.20834146440029144,0.0010000000474974513
10,0.919070303440094,0.175733745098114,0.9241269826889038,0.20662246644496918,0.0010000000474974513
11,0.9225623607635498,0.17056851089000702,0.9235978722572327,0.20589743554592133,0.0010000000474974513
12,0.9241496324539185,0.16518639028072357,0.9287830591201782,0.1942324936389923,0.0010000000474974513
13,0.9253061413764954,0.1607438027858734,0.927830696105957,0.19597400724887848,0.0010000000474974513
14,0.9295011162757874,0.15103021264076233,0.9378836154937744,0.17498008906841278,0.0005000000237487257
15,0.9315192699432373,0.14834479987621307,0.9396825432777405,0.1715051680803299,0.0005000000237487257
