epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
1,0.7947392463684082,0.4350009858608246,0.8456084728240967,0.40434685349464417,0.0010000000474974513
2,0.8818140625953674,0.24515943229198456,0.8833862543106079,0.3000515401363373,0.0010000000474974513
3,0.8958730101585388,0.21124178171157837,0.9050793647766113,0.24623450636863708,0.0010000000474974513
4,0.9070068001747131,0.18847019970417023,0.9135449528694153,0.22997398674488068,0.0010000000474974513
5,0.9142403602600098,0.17115578055381775,0.9169312119483948,0.22147512435913086,0.0010000000474974513
6,0.9194784760475159,0.15815389156341553,0.9194709062576294,0.2148897349834442,0.0010000000474974513
7,0.925782322883606,0.14724473655223846,0.9273015856742859,0.2009698748588562,0.0010000000474974513
8,0.9299092888832092,0.13785232603549957,0.9299470782279968,0.1955098658800125,0.0010000000474974513
9,0.9335147142410278,0.12961404025554657,0.9328042268753052,0.17615708708763123,0.0010000000474974513
10,0.937233567237854,0.12169530987739563,0.936296284198761,0.1699880212545395,0.0010000000474974513
11,0.9406576156616211,0.11500959098339081,0.937248706817627,0.16932858526706696,0.0010000000474974513
12,0.9446938633918762,0.10807144641876221,0.9371428489685059,0.17167213559150696,0.0010000000474974513
13,0.9509977102279663,0.09520621597766876,0.9288889169692993,0.1820957511663437,0.0005000000237487257
